,SOI,NAO,PDO,AO,AMO,NINO34,PNA,WP,EA,EPO
1951-01,2.5,-0.42,-1.54,-0.085,0.096,26.04,-1.18,-0.07,-0.74,-0.81
1951-02,1.5,0.35,-1.06,-0.4,-0.008,26.65,-2.11,-0.58,-1.66,-1.32
1951-03,-0.2,-1.47,-1.9,-1.934,0.006,27.34,-1.09,-0.29,0.11,0.2
1951-04,-0.5,-0.38,-0.36,-0.776,0.162,27.88,0.47,-0.19,-2.31,0.02
1951-05,-1.1,-0.5,-0.25,-0.863,0.166,28.15,1.19,0.7,0.93,-0.04
1951-06,0.3,-1.35,-1.09,-0.918,0.283,28.13,-0.54,0.1,1.91,-0.62
1951-07,-1.7,1.39,0.7,0.09,0.415,27.97,-0.44,0.88,-0.86,0.98
1951-08,-0.4,-0.41,-1.37,-0.377,0.297,27.89,0.02,0.73,-3.26,0.41
1951-09,-1.8,-1.18,-0.08,-0.818,0.243,27.75,-0.08,-3.45,-0.26,1.42
1951-10,-1.6,2.54,-0.32,-0.213,0.252,27.96,0.43,-0.47,0.59,-0.11
1951-11,-1.3,-0.54,-0.28,-0.069,0.168,27.77,0.21,0.62,0.48,0.62
1952-01,-1.5,0.57,-2.01,0.368,0.165,27.36,-3.19,1.43,-1.07,1.59
1952-02,-1.0,-1.38,-0.46,-1.747,0.176,27.34,0.08,0.88,-1.46,-1.09
1952-03,0.9,-1.97,-0.63,-1.86,0.224,27.31,-0.69,0.06,0.16,-2.13
1952-04,-0.4,0.95,-1.05,0.538,0.184,28.3,0.89,0.28,0.12,-2.44
1952-05,1.2,-0.99,-1.0,-0.773,0.174,27.92,-0.79,0.93,0.24,0.06
1952-06,1.2,-0.1,-1.43,-0.441,0.376,27.24,0.53,1.08,-0.4,-0.25
1952-07,0.8,-0.06,-1.25,0.383,0.366,27.0,-1.57,-1.02,-1.26,1.3
1952-08,0.1,-0.49,-0.6,-0.03,0.397,27.0,0.77,-1.43,-0.95,1.35
1952-09,-0.4,-0.38,-0.89,-0.383,0.355,27.03,0.4,-1.94,-1.68,0.35
1952-10,0.6,-0.28,-0.35,-0.437,0.348,27.19,1.05,1.39,-0.42,1.1
1952-11,0.0,-1.32,-0.76,-1.891,0.244,26.89,0.77,0.61,-1.55,-0.62
1953-01,0.5,-0.12,-0.57,-1.036,0.258,27.44,0.18,-1.24,0.84,0.24
1953-02,-0.8,-1.0,-0.07,-0.249,0.178,27.43,1.04,1.38,-0.25,-1.51
1953-03,-0.3,-0.45,-1.12,1.068,0.134,27.61,-0.44,0.58,1.73,-2.29
1953-04,0.3,-1.96,0.05,-1.256,0.306,28.38,0.78,-1.86,-1.66,-0.07
1953-05,-2.8,-0.56,0.43,-0.562,0.335,28.53,1.14,-0.51,0.09,-0.63
1953-06,0.2,1.41,0.29,0.022,0.268,28.56,-1.6,-0.57,-0.71,3.88
1953-07,-0.0,0.43,0.74,0.333,0.337,27.96,0.27,-1.1,-0.71,0.99
1953-08,-2.0,-1.04,0.05,0.085,0.251,27.54,-1.15,1.04,-1.41,-0.54
