lambda_0,window_id,reported_cefi,reported_q_star,q1_feasible_cefi,absolute_witness_gap
0.0001,0,0.49881812247494745,1,0.5836089690772459,0.08479084660229846
0.0001,1,0.2730095291426563,1,0.283834111776771,0.010824582634114677
0.0001,2,0.16755701914952414,1,0.2413425559374751,0.07378553678795097
0.0001,3,0.21331652511088733,1,0.2220095222783079,0.008692997167420558
0.0001,4,0.1152474344319233,1,0.17048365714129055,0.05523622270936725
0.0001,5,0.08778454508576707,2,0.21211538705703714,0.12433084197127008
0.0001,6,0.18811994184271827,2,0.2591437951416852,0.0710238532989669
0.0001,7,0.14968453330267864,1,0.17236784199849223,0.022683308695813587
0.0001,8,0.23529162351327332,1,0.27909477802175714,0.04380315450848382
0.0001,9,0.31808924447470127,3,0.45350720910046544,0.13541796462576416
0.0001,10,0.21703740260531695,5,0.3257539695617045,0.10871656695638754
0.0001,11,0.25988158123372807,1,0.2835869733810592,0.02370539214733114
0.0001,12,0.18462256124586648,4,0.23627846224989188,0.051655901004025395
0.0001,13,0.2540788984680141,1,0.27039854304035293,0.01631964457233881
0.0001,14,0.1602299671336175,2,0.17193907352742835,0.011709106393810842
0.0001,15,0.43824250386586594,1,0.511780839067798,0.07353833520193209
0.0001,16,0.26069181703317623,2,0.2870615180653808,0.026369701032204595
0.0001,17,0.15785918720131561,1,0.18852751133392384,0.030668324132608227
0.001,0,0.4334369523537702,1,0.5740174898158121,0.1405805374620419
0.001,1,0.26839942894601054,1,0.279581091670966,0.011181662724955466
0.001,2,0.16373391758232228,1,0.23952169728964148,0.0757877797073192
0.001,3,0.21001126812820736,1,0.21918696761796674,0.009175699489759381
0.001,4,0.1110997622982411,3,0.16817199398428845,0.057072231686047345
0.001,5,0.08502319194916516,2,0.20997270592111902,0.12494951397195386
0.001,6,0.18517240336325547,2,0.2561436094467152,0.07097120608345975
0.001,7,0.14657741171152677,1,0.16975073847475203,0.023173326763225255
0.001,8,0.2288161386082141,1,0.275646407335482,0.04683026872726792
0.001,9,0.2805185382516525,3,0.4386256360788483,0.15810709782719579
0.001,10,0.2513359839618575,1,0.3167109859177787,0.06537500195592116
0.001,11,0.24206367758048952,1,0.2780822538247306,0.036018576244241096
0.001,12,0.18069429759616393,4,0.2314586260937078,0.050764328497543865
0.001,13,0.24894408968397505,1,0.2656041160806225,0.01666002639664746
0.001,14,0.15645704332352597,2,0.17022580058188844,0.013768757258362463
0.001,15,0.4424305077917904,1,0.4943037568906977,0.05187324909890734
0.001,16,0.24863338282483038,2,0.2741407715249595,0.02550738870012914
0.001,17,0.1540677629273473,1,0.18466063543216632,0.030592872504819013
0.01,0,0.45732717820569563,1,0.4885516672009123,0.03122448899521668
0.01,1,0.2274948747777899,1,0.24161334426355824,0.014118469485768337
0.01,2,0.12596299592485605,1,0.2222726887602724,0.09630969283541635
0.01,3,0.17858159910804722,1,0.19349333356250148,0.014911734454454262
0.01,4,0.08407886843537171,3,0.14718285433343645,0.06310398589806474
0.01,5,0.06502986390973124,5,0.1901561341718046,0.12512627026207335
0.01,6,0.15596915362952862,2,0.2289334383008505,0.07296428467132188
0.01,7,0.11912936550939009,1,0.14674872401237787,0.027619358502987787
0.01,8,0.20669847470849198,1,0.24506741711729293,0.038368942408800955
